[2026-01-12 14:17:13] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:20:13] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:23:14] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:26:15] temp=15.00°C, ip=10.129.8.25
[2026-01-12 14:27:09] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:29:16] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:29:16] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:29:58] temp=15.00°C, ip=10.129.29.253
[2026-01-12 14:30:54] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:32:17] temp=15.00°C, ip=10.129.8.25
[2026-01-12 14:32:28] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:35:20] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:36:16] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:38:28] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:39:11] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:41:25] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:42:11] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:44:26] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:45:11] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:47:27] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:48:10] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:50:27] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:51:10] temp=15.00°C, ip=10.129.29.253
[2026-01-12 14:53:28] temp=16.00°C, ip=10.129.8.25
[2026-01-12 14:54:12] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:56:29] temp=15.00°C, ip=10.129.8.25
[2026-01-12 14:57:12] temp=16.00°C, ip=10.129.29.253
[2026-01-12 14:59:30] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:02:34] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:05:32] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:08:33] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:11:34] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:14:35] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:17:36] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:19:04] temp=17.00°C, ip=10.129.29.253
[2026-01-12 15:20:37] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:22:04] temp=16.00°C, ip=10.129.29.253
[2026-01-12 15:23:38] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:26:39] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:29:40] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:32:41] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:35:42] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:38:43] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:41:44] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:44:45] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:47:46] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:50:47] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:53:48] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:56:49] temp=16.00°C, ip=10.129.8.25
[2026-01-12 15:59:50] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:02:53] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:05:52] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:08:53] temp=15.00°C, ip=10.129.8.25
[2026-01-12 16:11:54] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:14:55] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:17:56] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:20:57] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:23:58] temp=15.00°C, ip=10.129.8.25
[2026-01-12 16:26:59] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:28:46] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:30:00] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:31:46] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:33:01] temp=15.00°C, ip=10.129.8.25
[2026-01-12 16:34:47] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:36:02] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:37:47] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:39:03] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:40:47] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:42:04] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:43:47] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:45:05] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:46:47] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:48:06] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:49:48] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:51:07] temp=17.00°C, ip=10.129.8.25
[2026-01-12 16:52:48] temp=16.00°C, ip=10.129.29.253
[2026-01-12 16:54:08] temp=16.00°C, ip=10.129.8.25
[2026-01-12 16:55:49] temp=17.00°C, ip=10.129.29.253
[2026-01-12 16:57:09] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:00:13] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:03:12] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:06:13] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:09:14] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:12:15] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:15:16] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:18:17] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:21:18] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:24:19] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:27:20] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:30:21] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:33:22] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:36:23] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:39:24] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:42:25] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:45:26] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:48:27] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:51:28] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:54:29] temp=15.00°C, ip=10.129.8.25
[2026-01-12 17:57:27] temp=16.00°C, ip=10.129.29.253
[2026-01-12 17:57:30] temp=16.00°C, ip=10.129.8.25
[2026-01-12 18:00:33] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:03:32] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:06:33] temp=15.00°C, ip=10.129.8.25
